lat,lon,tag,lines
37.4032095,-5.9889863,Point 1,both
37.4031248,-5.9899208,Point 2,both
37.4032185,-5.9908327,Point 3,both
37.4034243,-5.9920236,Point 4,both
37.4035351,-5.9931824,Point 5,both
37.4038245,-5.9952593,Point 6,both
37.4031768,-5.9960961,Point 7,C4
37.4023586,-5.9970188,Point 8,C4
37.4015063,-5.9978986,Point 9,C4
37.4006881,-5.9987354,Point 10,C4
37.3997505,-5.9995937,Point 11,C4
37.3990687,-6.0002804,Point 12,C4
37.3982505,-6.0009241,Point 13,C4
37.3974833,-6.0015034,Point 14,C4
37.3965969,-6.0021043,Point 15,C4
37.3954071,-6.0032131,Point 16,C4
37.3945687,-6.0035215,Point 17,C4
37.403995,-5.9966111,Point 18,C2
37.4048131,-5.9980702,Point 19,C2
37.4057847,-5.9986067,Point 20,C2
37.4066093,-5.997948,Point 21,C2
37.4075297,-5.997154,Point 22,C2
37.4085353,-5.9962743,Point 23,C2
37.4094046,-5.9966176,Point 24,C2
37.4100352,-5.9974544,Point 25,C2
37.4108022,-5.9984415,Point 26,C2
37.4118682,-5.9998657,Point 27,C2
37.4120581,-6.0008633,Point 28,C2
